engine,BPR,OPR,year,mode_pct,thrust_kN,fuel_kg_s,TSFC
CF6-45A2,4.3,25.9,1979.0,1.0,202.8,2.058,0.03653254437869822
CF6-45A2,4.3,25.38,1987.0,1.0,202.8,2.027,0.03598224852071006
CF6-50A,4.3,26.88,1987.0,1.0,215.3,2.168,0.036250812819321875
CF6-50C,4.3,28.8,1979.0,1.0,224.2,2.379,0.03819982158786797
CF6-50C,4.3,27.76,1987.0,1.0,224.2,2.281,0.036626226583407674
CF6-50C1,4.3,28.44,1987.0,1.0,230.4,2.361,0.036890625
"CF6-50C1, -C2",4.3,29.8,1979.0,1.0,230.4,2.487,0.038859375
CF6-50C2,4.3,28.44,1987.0,1.0,230.4,2.361,0.036890625
CF6-50C2B,4.3,29.06,1987.0,1.0,236.7,2.41,0.03665399239543726
CF6-50C2R,4.3,28.8,1979.0,1.0,224.2,2.379,0.03819982158786797
CF6-50C2R,4.3,27.76,1987.0,1.0,224.2,2.281,0.036626226583407674
CF6-50CA,4.3,27.76,1987.0,1.0,224.2,2.281,0.036626226583407674
CF6-50E,4.3,28.44,1987.0,1.0,230.4,2.361,0.036890625
CF6-50E1,4.3,28.44,1987.0,1.0,230.4,2.361,0.036890625
CF6-50E2,4.3,29.8,1979.0,1.0,230.4,2.487,0.038859375
CF6-50E2,4.3,28.44,1987.0,1.0,230.4,2.361,0.036890625
CF6-50E2B,4.3,29.06,1987.0,1.0,236.7,2.41,0.03665399239543726
CF6-6D,5.9,24.7,1979.0,1.0,174.8,1.736,0.03575286041189932
CF6-6D1A,5.9,25.4,1979.0,1.0,181.9,1.812,0.03586146234194612
CF6-6K,5.9,24.7,1979.0,1.0,174.8,1.736,0.03575286041189932
CF6-6K2,5.9,25.4,1979.0,1.0,181.9,1.812,0.03586146234194612
CF6-80A,5.0,29.0,1983.0,1.0,208.8,2.145,0.03698275862068966
CF6-80A1,5.0,29.0,1983.0,1.0,209.0,2.145,0.03694736842105263
CF6-80A2,5.0,30.1,1983.0,1.0,216.5,2.254,0.03747990762124711
CF6-80A3,5.0,30.1,1983.0,1.0,217.8,2.254,0.03725619834710744
CF6-80C2A1,5.1,30.96,1985.0,1.0,257.4,2.4,0.03356643356643357
CF6-80C2A1,5.1,30.53,1995.0,1.0,257.4,2.453,0.03430769230769231
CF6-80C2A2,5.1,28.0,1985.0,1.0,233.35,2.117,0.03265995286050996
CF6-80C2A2,5.1,28.0,1985.0,1.0,233.35,2.117,0.03265995286050996
CF6-80C2A2,5.1,27.79,1995.0,1.0,233.35,2.152,0.0331999142918363
CF6-80C2A3,5.1,31.64,1985.0,1.0,262.22,2.457,0.03373198077949813
CF6-80C2A3,5.1,31.64,1985.0,1.0,262.22,2.457,0.03373198077949813
CF6-80C2A3,5.1,31.09,1995.0,1.0,262.22,2.516,0.03454198764396309
CF6-80C2A5,5.1,31.58,1985.0,1.0,267.3,2.581,0.03476094276094276
CF6-80C2A5,5.1,31.58,1985.0,1.0,267.3,2.581,0.03476094276094276
CF6-80C2A5,5.1,31.66,1995.0,1.0,267.34,2.58,0.03474227575372185
CF6-80C2A5F,5.1,32.88,1995.0,1.0,271.88,2.63,0.0348241871413859
CF6-80C2A8,5.1,31.0,1985.0,1.0,257.4,2.507,0.03506293706293707
CF6-80C2A8,5.1,30.45,1995.0,1.0,257.37,2.444,0.0341858025410887
CF6-80C2B1,5.1,30.08,1985.0,1.0,249.0,2.285,0.033036144578313255
CF6-80C2B1,5.1,29.53,1995.0,1.0,249.01,2.34,0.0338299666680053
CF6-80C2B1F,5.1,30.13,1985.0,1.0,254.3,2.353,0.03331026346834448
CF6-80C2B1F,5.1,30.13,1985.0,1.0,254.3,2.341,0.033140385371608336
CF6-80C2B1F,5.1,30.13,1995.0,1.0,254.26,2.422,0.03429245654054905
CF6-80C2B2,5.1,27.74,1985.0,1.0,231.1,2.131,0.03319601903937689
CF6-80C2B2,5.1,27.53,1995.0,1.0,231.08,2.124,0.033089839016790724
CF6-80C2B2F,5.1,27.52,1985.0,1.0,231.35,2.071,0.032226496650097254
CF6-80C2B2F,5.1,27.6,1995.0,1.0,231.35,2.148,0.033424681218932356
CF6-80C2B4,5.1,30.36,1985.0,1.0,254.35,2.43,0.03439355219186161
CF6-80C2B4,5.1,30.14,1995.0,1.0,254.35,2.409,0.03409632396304305
CF6-80C2B4F,5.1,30.17,1985.0,1.0,254.79,2.359,0.03333097845284352
CF6-80C2B4F,5.1,30.22,1995.0,1.0,254.79,2.432,0.03436241610738255
CF6-80C2B5F,5.1,32.82,1995.0,1.0,272.53,2.685,0.03546765493707115
CF6-80C2B6,5.1,31.56,1985.0,1.0,267.2,2.579,0.03474700598802396
CF6-80C2B6,5.1,31.66,1995.0,1.0,267.2,2.58,0.03476047904191617
